,,,REWARDS,,,,,,,REQUIREMENTS,,,,,,,,,
Name,CType,MType,Prestige,Credits,BC,Faction,Sorelia,2ndPlace,,Reactors,Thrusters,Shields,Damage,Crew,Moon,Flex,HDice,Game,Special
Abandoned Vessel,Explore,Reg,1,4,1,,,,,3,,,3,,,,2,BG,
Admiral's Flagship,Kill,Reg,5,11,1,,,,,5,,5,8,,,,4,BG,
Ancient Ruins,Explore,Reg,2,7,,,,,,4,4,,,,,,2,BG,
Assault on Vilonia,Kill,Reg,3,5,1,,,,,,,,8,,,,2,BG,
Asteroid Field,Explore,Reg,2,8,,,,,,4,,,,3,,,2,BG,
Black Hole,Explore,Reg,5,12,,,,,,4,4,,,5,,,4,BG,
Blockade Run,Delivery,Reg,0,3,,,,,,,1,1,,,,,,BG,
Bomber Screen,Kill,Reg,3,9,,,,,,,3,,6,,,,3,BG,
Bounty Hunters,Kill,Reg,3,6,,,,,,,,,6,2,,,3,BG,
Claim Bounty,Kill,Reg,1,3,,,,,,2,,,3,,,,1,BG,
Core World Ace,Kill,Reg,1,5,1,,,,,,,,5,,,,1,BG,
Cryogenic Pods,Rescue,Reg,3,7,,,,,,4,,4,,,,,3,BG,
Derelict Planet,Explore,Reg,3,8,,,,,,5,2,,,3,,,2,BG,
Distress Beacon,Explore,Reg,1,3,,,,,,3,,,,1,,,1,BG,
Elite Squadron,Kill,Reg,4,6,1,,,,,4,,3,8,,,,3,BG,
Emergency Meds,Delivery,Reg,3,8,,,,,,3,4,,4,,,,2,BG,
Envoy in Distress,Rescue,Reg,1,2,1,,,,,,,2,2,,,,2,BG,
Escape Pods,Rescue,Reg,2,7,,,,,,,,3,3,,,,2,BG,
Escort Duty,Delivery,Reg,1,2,1,,,,,,3,,,1,,,1,BG,
Fuel Shortage,Delivery,Reg,1,3,,,,,,,2,,2,,,,1,BG,
Icarus Run,Rescue,Reg,2,8,,,,,,,3,3,,,,,2,BG,
Kill Slavers,Kill,Reg,0,4,,,,,,,1,,1,,,,,BG,
Martial Law,Rescue,Reg,1,4,1,,,,,,,2,,2,,,2,BG,
Munitions Stockpile,Delivery,Reg,3,7,,,,,,,4,3,,,,,2,BG,
Negotiation Insurance,Delivery,Reg,1,2,1,,,,,,3,,1,,,,2,BG,
Nova Bloom,Explore,Reg,3,7,,,,,,5,,3,,,,,3,BG,
Pirate Treasure,Explore,Reg,1,2,,,,,,2,,1,,,,,1,BG,
Prison Moon,Rescue,Reg,5,10,,,,,,,4,5,2,,,,4,BG,
Probe Recovery,Explore,Reg,1,2,1,,,,,3,2,,,,,,1,BG,
Proof of Life,Delivery,Reg,3,4,,,,,,4,4,,,,,,2,BG,
Reactor Failure,Rescue,Reg,0,3,,,,,,1,,1,,,,,,BG,
Refugee Crisis,Delivery,Reg,2,7,,,,,,,3,,,2,,,2,BG,
Resistance Leader,Rescue,Reg,4,6,,,,,,,2,4,,2,,,3,BG,
Rival Pirate Gang,Kill,Reg,1,3,,,,,,,,1,2,,,,1,BG,
Royal Cargo,Delivery,Reg,5,10,,,,,,,5,,5,2,,,4,BG,
Scout Cruiser,Kill,Reg,3,6,,,,,,,,2,5,,,,3,BG,
Space Anomaly,Explore,Reg,0,3,,,,,,1,,,1,,,,,BG,
Stim Run,Delivery,Reg,1,2,,,,,,1,2,,,,,,1,BG,
Supernova Escape,Rescue,Reg,1,3,,,,,,,1,2,,,,,1,BG,
Transport Rescue,Rescue,Reg,1,3,,,,,,,,2,,1,,,1,BG,
Battle Simulation,Kill,H2H,1,5,,,,3,,,,99,99,,,,,OL,
Brawlers Cup,Kill,H2H,1,5,,,,3,,,99,,,99,,,,OL,
Concealed Core,Delivery,Flex,2,8,,,,,,4,,,,,,10,2,OL,
Concealed Parcel,Explore,Flex,2,6,,,,,,,3,,,,,8,2,OL,
Cryptic Shadow,Delivery,Flex,1,5,,,,,,,,,,1,,6,1,OL,
Energy Transfer,Delivery,H2H,1,5,,,,3,,99,99,,,,,,,OL,
Guerilla Ambush,Kill,Flex,2,6,,,,,,,,,4,,,8,,OL,
