Name,Brand,Card1,Card2,Card3,Card4,Card5,Cost,Game,Ability
Absorption K2,Ventus,Reactor,,,,,3,BG,"At the start of a Contract, draw 1 Card if you have no Blue Reactors in your hand."
Accelerator mk3,Komek,Reactor,,,,,4,BG,Your first Reactor played gives you an extra Action.
Barrier A3,Ventus,Shield,,,,,2,BG,"At the start of a Contract, draw 1 Card if you have no Green Shields in your hand."
Cloaking Device,Henko,,,,,,5,BG,Roll 1 fewer Hazard Die.
"Clone Bay, The",Sorelia,,,,,,6,BG,"Once per Contract, you may play a single Crew Card twice. Each use requires an Action."
Daburu mk1,Komek,,,,,,6,BG,Start every Contract with +1 Action.
Dark Matter mk3,Magnomi,Damage 2,,,,,4,BG,"As 1 Action, discard a Damage 1 card and a Damage 2 card to deal 5 Damage."
"Dauntless, The",Sorelia,Shield,Shield,,,,6,BG,Each Green Shield that you play also reduces the Damage requirement by 1 (to a minimum of 0).
Defender 5000,Henko,Shield,,,,,3,BG,Spend 1 action to discard any 2 non-Shield cards to play them as a Green Shield.
Duo 1000,Henko,Shield,,,,,4,BG,Your first Green Shield that you play counts as 2 Shields.
Emulator mk2,Komek,Shield,,,,,3,BG,Play your first Green Shield without spending an Action.
Escape Jets E1,Ventus,Thruster,,,,,3,BG,"At the start of a Contract, draw 1 Card if you have no Thrusters in your hand."
Flash,Ventus,,,,,,6,BG,Your hand limit is now 6 instead of 5.
"Gatling Laser, The",Sorelia,Miss,Damage 3,,,,5,BG,The Contract's requirement for Damage is 1 less (to a minimum of 0).
Jump Jets E2,Ventus,Thruster,,,,,2,BG,"From now on, Allies draw 1 Card at the start of every Contract you participate in."
"Leech, The",Sorelia,Reactor,Reactor,,,,5,BG,"As Mission Leader or Ally, gain 1 Action for each Ally participating in the current Contract (including you if you're not the Mission Leader).."
MG Charge Core,Magnomi,Reactor,,,,,3,BG,Spend 1 Action to play a Damage 1 Card as a Damage 3 Card. Then add a Miss Card from the supply to your discard pile.
MG Phase Core,Magnomi,Reactor,,,,,3,BG,"If you play 2 or more Blue Reactors, the Damage requirement for this Contract is reduced by 1 (to a minimum of 0)."
MG Support Core,Magnomi,Reactor,Reactor,,,,3,BG,The first Damage card you play does not cost you an action.
MG Warp,Magnomi,Thruster,,,,,5,BG,Draw 2 Cards when you play your first Damage card.
MG1 Kinetic,Magnomi,Miss,Damage 1,Damage 1,,,3,BG,"Every time you trash a Damage 1 card from your hand, reduce the Contract's Damage requirement by 3 (to a minimum of 0)."
MG1 Rail Gun,Magnomi,Miss,Damage 2,,,,3,BG,"Upon completing the current Contract, reduce its Damage requirement by 2 (to a minimum of 0) if you didn't play any Shield cards."
MG2 Laser Turrets,Magnomi,Damage 1,Damage 1,,,,2,BG,Spend 1 Action to discard 2 Damage 1 cards deal 4 Damage.
MG2 Quad Laser,Magnomi,Damage 3,,,,,4,BG,"At the start of a Contract, draw 2 Cards if you have no Damage cards in your hand."
Multi Stage M1,Ventus,Thruster,Thruster,,,,4,BG,"Once per Contract, you may discard up to 3 Cards. Allies then draw an equal number of cards into their hands."
Predator mk1,Komek,Miss,Damage 2,,,,3,BG,All players can play Damage 1 card without spending an Action.
Projector S2,Ventus,Shield,Shield,,,,4,BG,"At the start of a Contract, draw 1 Card for every Hazard Die targeting you."
Pulsor mk1,Komek,Reactor,,,,,2,BG,Allies (excluding you) start every Contract with an extra Action.
"Pursuer, The",Sorelia,Thruster,Thruster,,,,6,BG,"Once per Contract, you may discard up to 3 Cards, and then draw an equal number of cards."
"Quantum Driver, The",Sorelia,Miss,Damage 3,,,,7,BG,"Once per Contract, play a Damage 1 card as a Damage 3 card."
Replicator mk1,Komek,Thruster,,,,,3,BG,"Discard 2 of the same exact card as 1 Action to play them as a Shield, Thruster, Reactor, or Damage 1."
Sapphire mk2,Komek,Reactor,,,,,3,BG,The requirement for Reactors is always 1 less from now on for every Contract you're participating in.
Swarm mk1,Komek,Miss,Damage 2,,,,4,BG,"Every time you discard a Damage 1 card from your hand, gain 2 Actions."
Symbiote 9000,Henko,Shield,,,,,3,BG,"Once per Contract, you may block 1 Hazard icon by trashing a card from your hand."
Titan 3000,Henko,Shield,,,,,3,BG,The Shield requirement for every Contract you participate in is reduced by 1 (to a minimum of 0).
Twin Jets E4,Ventus,Thruster,,,,,3,BG,The Thruster requirement for every Contract you participate in is reduced by 1 (to a minimum of 0).
Vector Jets E3,Ventus,Thruster,,,,,3,BG,"As Mission Leader, draw 1 Card at the start of every Contract."
Aclimator 6050,Henko,Shield +,Shield x,,,,6,OL,"You may choose to change 1 of the Contract requirement types to Shields. You may do this even if a Shields requirement already exists, in which case, the requirement amounts stack. This applies to everyone participating in the Contract."
"Arbiter, The",Sorelia,Miss,,,,,5,OL,Discard 2 cards to add 1 IOsphere to this card. Spend 3 IOsphere from this card to add a copy of any Action card in your hand (not Crew) to your discard pile from the supply.
Augmentor 2050,Henko,Shield,,,,,4,OL,"Once per Contract, you may trash a Green Shield from your hand and add a Shield + to your discard pile."
Catalyzer mk2,Komek,Reactor +,,,,,5,OL,"Once per Contract, if you play 2 Reactor cards in a row, draw 2 Cards."
Contributor mk2,Komek,Thruster +,,,,,3,OL,"Once per Contract, you may give an ally a Blue Reactor or a Yellow Thruster from the supply and have them add it into their hand."
Devotion 3050,Henko,Reactor +,Thruster +,Shield +,Damage +,,5,OL,You may only buy this Ship Part if you have 2 other Green Henko Ship Parts already installed on your ship.
"Eternal, The",Sorelia,Damage +,Damage 1,Damage 1,Miss,Miss,5,OL,"Once per Contract, you may trash a card from your hand to add 1 IOsphere token to this card. Spend 4 IOsphere tokens from this card to gain 1 Prestige."
Inverter mk2,Komek,Reactor,,,,,4,OL,"Once per Contract, you may trash a Blue Reactor from your hand to add a Reactor + to your discard pile."
IO Buffer 2050,Henko,Shield +,,,,,3,OL,Discard any 1 Green Shield to add 1 IOsphere token to this card. Spend 1 IOsphere token from this card to reduce the Contract's Shield requirement by 1 (to a minimum of 0).
