Name,Role,Type,Cost,Game,Ability
Ada Massa,Reactor Expert,Tech,3,BG,+3 Actions. Reduce the mission requirement for Blue Reactors by 1 to a minimum of 0.
AT-0K,Tactical AI,Paladin,3,BG,Discard 1 of your rolled Hazard Dice. Play this card as an amount of Damage equal to the number of Hazard icons on the discarded die.
B3-AR,Communications AI,Pilot,2,BG,Take a Crew Card from your played or discarded cards back into your hand and gain 1 Action.
Bill Bendo,Supply Sergeant,Paladin,2,BG,Ignore 1 Hazard icon. The requirements for Shields is reduced by 1 to a minimum of 0. Draw 1 Card or gain 1 Action.
Crusse Parke,Hot Shot,Merc,3,BG,Play as 4 Damage. Trash the top card of your draw pile (without first seeing what it is).
Dana Powalki,Bounty Hunter,Merc,4,BG,"Play as 1 Damage 3 Card, and gain 1 Action."
Kal Damar,Scavenger,Pilot,2,BG,"Draw 2 Cards. Afterwards, if you wish, you may trash 1 Card from your hand."
Kary Powalk,Fleet Admiral,Merc,3,BG,All players' Damage Cards are +1 Damage. Gain 1 Action.
Lee van Cribb,Scout,Tech,2,BG,"Look at the next 3 Cards in your Draw Pile. Play 1 as a free action and discard the other 2 cards. Then, gain 1 Action."
Lila al Bindar,2nd Lieutenant,Tech,2,BG,"Trash a card from your hand and add a basic Blue Reactor to your discard pile. Also, gain 1 Action. (Trashing a card is not optional.)"
Meg Gallak,Mine Engineer,Agent,4,BG,Trash a card from your hand. Subtract 2 from any 1 requirement to a minimum of 0. Gain 1 Action. (Trashing a card is not optional.)
Moro Mada,Saboteur,Agent,4,BG,Subtract 2 from any one requirement for the current Contract (to a minimum of 0).
Myla Dystra,Fearless Pilot,Pilot,3,BG,Discard any number of Cards from your hand to draw an equal number of cards to replace them. Gain 1 Action.
Nella van Daval,Engine Mechanic,Pilot,3,BG,Draw 3 Cards. Reduce the requirement of this Contract's Thruster requirement by 1 (to a minimum of 0).
Redacted,Strike Leader,Paladin,3,BG,Play this card as a Green Shield. Re-roll any number of your Hazard Dice once.
Ryan Rogal,Munitions Expert,Merc,3,BG,"Draw 2 Cards. If you draw a Damage card, play one as a Damage 5 without spending an action."
Ryle al Wren,Sergeant,Paladin,3,BG,"Ignore 2 Hazard icons, OR reduce the current Contract's Shield requirement by 2 (to a minimum of 0)."
Sella Pelleon,Ensign,Agent,4,BG,Subtract 1 from any 1 requirement (to a minimum of 0). Draw 1 Card and gain 1 Action.
Tantin al Vale,Deck Officer,Merc,2,BG,Play this card as a Damage 2 or a Green Shield.
Zek Zarag,Navigator,Pilot,2,BG,"Search you draw pile for any Card, and play that card without spending an Action. Afterwards, shuffle your draw pile."
Anka Kramer,Resonate Co-Pilot,Pilot,3,OL,+4 Cards. Discard 3 cards from your hand before proceeding.
Armitage,Overseer,Paladin,3,OL,"Play as a Green Shield and gain 1 Action, OR you may trash this card to subtract 3 Shields from a Contract's requirement."
Dae Arum,Translator,Agent,4,OL,Subtract 3 from any 1 Contract requirement (to a minimum of 0). Lose 1 Prestige (to a minimum of 0).
Domi,Promoter,Tech,3,OL,Add or remove 1 IOsphere token to any of your Ship Parts that use them. Gain 1 Action.
FT-1000,Resonate Artisan,Agent,3,OL,Subtract 2 from any 1 mission requirement to a minimum of 0. Add 1 Miss Card from the supply to your hand.
Grinar Flok,Procurer,Agent,3,OL,Play as a Damage 4. Immediately roll an additional Hazard Die.
Ha Kun,Recruiter,Agent,4,OL,Gain 1 Action. Add a Crew Card to your discard pile for free that costs 2 Credits or less.
